#Vback		Iback			(12/10/2018  10:45)
2.200917E-5	-1.365245E-10
1.000012E+0	2.701920E-7
1.999992E+0	3.826954E-7
3.000333E+0	4.661278E-7
4.000463E+0	5.346037E-7
5.000337E+0	5.935667E-7
6.000520E+0	6.458711E-7
7.000350E+0	6.931718E-7
8.000493E+0	7.367268E-7
9.000296E+0	7.773582E-7
1.000048E+1	8.156244E-7
1.100032E+1	8.519829E-7
1.200047E+1	8.867895E-7
1.300026E+1	9.203960E-7
1.400039E+1	9.528775E-7
1.500019E+1	9.845132E-7
1.600030E+1	1.015331E-6
1.700013E+1	1.045524E-6
1.800004E+1	1.075109E-6
1.899990E+1	1.104202E-6
2.000003E+1	1.132948E-6
2.099984E+1	1.161301E-6
2.199857E+1	1.188393E-6
2.300443E+1	1.216269E-6
2.400995E+1	1.244166E-6
2.499831E+1	1.271680E-6
2.600577E+1	1.298866E-6
2.701128E+1	1.325449E-6
2.799776E+1	1.351906E-6
2.900408E+1	1.379112E-6
3.001075E+1	1.405525E-6
3.099631E+1	1.431696E-6
3.200331E+1	1.457960E-6
3.300807E+1	1.483200E-6
3.400068E+1	1.508452E-6
3.500610E+1	1.533164E-6
3.601358E+1	1.558699E-6
3.700218E+1	1.584344E-6
3.800838E+1	1.609085E-6
3.901694E+1	1.633133E-6
4.000541E+1	1.655211E-6
4.101121E+1	1.678723E-6
4.199646E+1	1.702937E-6
4.300583E+1	1.725131E-6
4.401250E+1	1.748718E-6
4.499744E+1	1.771558E-6
4.600515E+1	1.794612E-6
4.701007E+1	1.815115E-6
4.799817E+1	1.837544E-6
4.900465E+1	1.859513E-6
5.001057E+1	1.883482E-6
5.099881E+1	1.906596E-6
5.200620E+1	1.927404E-6
5.301456E+1	1.948648E-6
5.400195E+1	1.971274E-6
5.500919E+1	1.992141E-6
5.601578E+1	2.014271E-6
5.700383E+1	2.034961E-6
5.801121E+1	2.057050E-6
5.901496E+1	2.077733E-6
6.000374E+1	2.098390E-6
6.100977E+1	2.120107E-6
